Date,Close
1/7/19,138.05
1/8/19,142.53
1/9/19,144.23
1/10/19,144.2
1/11/19,143.8
1/14/19,145.39
1/15/19,148.95
1/16/19,147.54
1/17/19,148.3
1/18/19,150.04
1/22/19,147.57
1/23/19,144.3
1/24/19,145.83
1/25/19,149.01
1/28/19,147.47
1/29/19,144.19
1/30/19,150.42
1/31/19,166.69
2/1/19,165.71
2/4/19,169.25
2/5/19,171.16
2/6/19,170.49
2/7/19,166.38
2/8/19,167.33
2/11/19,165.79
2/12/19,165.04
2/13/19,164.07
2/14/19,163.95
2/15/19,162.5
2/19/19,162.29
2/20/19,162.56
2/21/19,160.04
2/22/19,161.89
2/25/19,164.62
2/26/19,164.13
2/27/19,162.81
2/28/19,161.45
3/1/19,162.28
3/4/19,167.37
3/5/19,171.26
3/6/19,172.51
3/7/19,169.13
3/8/19,169.6
3/11/19,172.07
3/12/19,171.92
3/13/19,173.37
3/14/19,170.17
3/15/19,165.98
3/18/19,160.47
3/19/19,161.57
3/20/19,165.44
3/21/19,166.08
3/22/19,164.34
3/25/19,166.29
3/26/19,167.68
3/27/19,165.87
3/28/19,165.55
3/29/19,166.69
4/1/19,168.7
4/2/19,174.2
4/3/19,173.54
4/4/19,176.02
4/5/19,175.72
4/8/19,174.93
4/9/19,177.58
4/10/19,177.82
4/11/19,177.51
4/12/19,179.1
4/15/19,179.65
4/16/19,178.87
4/17/19,178.78
4/18/19,178.28
4/22/19,181.44
4/23/19,183.78
4/24/19,182.58
4/25/19,193.26
4/26/19,191.49
4/29/19,194.78
4/30/19,193.4
5/1/19,193.03
5/2/19,192.53
5/3/19,195.47
5/6/19,193.88
5/7/19,189.77
5/8/19,189.54
5/9/19,188.65
5/10/19,188.34
5/13/19,181.54
5/14/19,180.73
5/15/19,186.27
5/16/19,186.99
5/17/19,185.3
5/20/19,182.72
5/21/19,184.82
5/22/19,185.32
5/23/19,180.87
5/24/19,181.06
5/28/19,184.31
5/29/19,182.19
5/30/19,183.01
5/31/19,177.47
6/3/19,164.15
6/4/19,167.5
6/5/19,168.17
6/6/19,168.33
6/7/19,173.35
6/10/19,174.82
6/11/19,178.1
6/12/19,175.04
6/13/19,177.47
6/14/19,181.33
6/17/19,189.01
6/18/19,188.47
6/19/19,187.48
6/20/19,189.53
6/21/19,191.14
6/24/19,192.6
6/25/19,188.84
6/26/19,187.66
6/27/19,189.5
6/28/19,193
7/1/19,193
7/2/19,195
7/3/19,197.2
7/5/19,196.4
7/8/19,195.76
7/9/19,199.21
7/10/19,202.73
7/11/19,201.23
7/12/19,204.87
7/15/19,203.91
7/16/19,203.84
7/17/19,201.8
7/18/19,200.78
7/19/19,198.36
7/22/19,202.32
7/23/19,202.36
7/24/19,204.66
7/25/19,200.71
7/26/19,199.75
7/29/19,195.94
7/30/19,197.04
7/31/19,194.23
8/1/19,192.73
8/2/19,189.02
8/5/19,181.73
8/6/19,184.51
8/7/19,185.15
8/8/19,190.16
8/9/19,187.85
8/12/19,185.37
8/13/19,188.45
8/14/19,179.71
8/15/19,182.59
8/16/19,183.7
8/19/19,186.17
8/20/19,183.81
8/21/19,183.55
8/22/19,182.04
8/23/19,177.75
8/26/19,180.36
8/27/19,181.3
8/28/19,181.76
8/29/19,185.57
8/30/19,185.67
9/3/19,182.39
9/4/19,187.14
9/5/19,190.9
9/6/19,187.49
9/9/19,188.76
9/10/19,186.17
9/11/19,188.49
9/12/19,187.47
9/13/19,187.19
9/16/19,186.22
9/17/19,188.08
9/18/19,188.14
9/19/19,190.14
9/20/19,189.93
9/23/19,186.82
9/24/19,181.28
9/25/19,182.8
9/26/19,180.11
9/27/19,177.1
9/30/19,178.08
10/1/19,175.81
10/2/19,174.6
10/3/19,179.38
10/4/19,180.45
10/7/19,179.68
10/8/19,177.75
10/9/19,179.85
10/10/19,180.03
10/11/19,184.19
