Date,Close
1/7/19,100.76
1/8/19,100.57
1/9/19,100.4
1/10/19,100.39
1/11/19,99.91
1/14/19,100.94
1/15/19,101.68
1/16/19,102.5
1/17/19,102.92
1/18/19,104.59
1/22/19,102.94
1/23/19,102.68
1/24/19,102.74
1/25/19,103.39
1/28/19,103.88
1/29/19,104.17
1/30/19,104.41
1/31/19,103.5
2/1/19,103.88
2/4/19,104.25
2/5/19,103.79
2/6/19,103.74
2/7/19,102.38
2/8/19,101.36
2/11/19,100.88
2/12/19,102.6
2/13/19,103.09
2/14/19,102.42
2/15/19,105.55
2/19/19,105.18
2/20/19,105.69
2/21/19,105.47
2/22/19,105
2/25/19,106.1
2/26/19,105.29
2/27/19,105.16
2/28/19,104.36
3/1/19,104.43
3/4/19,104.19
3/5/19,104.11
3/6/19,103.72
3/7/19,102.97
3/8/19,103.01
3/11/19,104.35
3/12/19,104.04
3/13/19,104.39
3/14/19,105.34
3/15/19,106.55
3/18/19,107.19
3/19/19,106.8
3/20/19,104.52
3/21/19,102.87
3/22/19,99.76
3/25/19,98.93
3/26/19,99.92
3/27/19,99.58
3/28/19,100.71
3/29/19,101.23
4/1/19,104.64
4/2/19,105.14
4/3/19,105.35
4/4/19,105.56
4/5/19,105.31
4/8/19,105.65
4/9/19,104.87
4/10/19,105.34
4/11/19,106.23
4/12/19,111.21
4/15/19,109.94
4/16/19,111.1
4/17/19,114.3
4/18/19,113.46
4/22/19,113.6
4/23/19,113.74
4/24/19,113.55
4/25/19,113.61
4/26/19,114.47
4/29/19,116.12
4/30/19,116.05
5/1/19,115.16
5/2/19,115.41
5/3/19,116.12
5/6/19,115.09
5/7/19,113.21
5/8/19,112.61
5/9/19,112.52
5/10/19,112.51
5/13/19,109.45
5/14/19,110.32
5/15/19,109.9
5/16/19,111.31
5/17/19,110.77
5/20/19,111.35
5/21/19,111.73
5/22/19,110.82
5/23/19,108.64
5/24/19,109.71
5/28/19,108.52
5/29/19,108.22
5/30/19,107.06
5/31/19,105.96
6/3/19,106.46
6/4/19,109.74
6/5/19,110.13
6/6/19,110.37
6/7/19,109.16
6/10/19,110.34
6/11/19,110.68
6/12/19,109.27
6/13/19,109.54
6/14/19,109.82
6/17/19,109.22
6/18/19,110.71
6/19/19,109.91
6/20/19,110.19
6/21/19,109.44
6/24/19,108.66
6/25/19,107.76
6/26/19,108.48
6/27/19,108.84
6/28/19,111.8
7/1/19,113.68
7/2/19,113.8
7/3/19,112.82
7/5/19,113.49
7/8/19,112.87
7/9/19,113.35
7/10/19,113.02
7/11/19,114.1
7/12/19,115.3
7/15/19,113.9
7/16/19,115.12
7/17/19,113.99
7/18/19,114.67
7/19/19,113.54
7/22/19,114.27
7/23/19,116.36
7/24/19,116.83
7/25/19,115.71
7/26/19,116.22
7/29/19,115.85
7/30/19,115.59
7/31/19,116
8/1/19,112.94
8/2/19,112.93
8/5/19,109.57
8/6/19,110.43
8/7/19,108.03
8/8/19,109.86
8/9/19,109.74
8/12/19,107.68
8/13/19,109.34
8/14/19,104.8
8/15/19,105.2
8/16/19,107.72
8/19/19,108.69
8/20/19,107.31
8/21/19,107.61
8/22/19,108.72
8/23/19,106.02
8/26/19,106.87
8/27/19,105.74
8/28/19,106.8
