Date,Close
1/7/19,66.99
1/8/19,67.07
1/9/19,67.71
1/10/19,68.99
1/11/19,69.45
1/14/19,66.88
1/15/19,68.89
1/16/19,69.21
1/17/19,69.46
1/18/19,60.45
1/22/19,59.78
1/23/19,57.52
1/24/19,58.3
1/25/19,59.41
1/28/19,59.28
1/29/19,59.49
1/30/19,61.75
1/31/19,61.4
2/1/19,62.44
2/4/19,62.58
2/5/19,64.27
2/6/19,63.44
2/7/19,61.5
2/8/19,61.16
2/11/19,62.57
2/12/19,62.36
2/13/19,61.63
2/14/19,60.75
2/15/19,61.58
2/19/19,61.13
2/20/19,60.51
2/21/19,58.25
2/22/19,58.94
2/25/19,59.75
2/26/19,59.57
2/27/19,62.95
2/28/19,63.98
3/1/19,58.96
3/4/19,57.07
3/5/19,55.31
3/6/19,55.25
3/7/19,55.32
3/8/19,56.83
3/11/19,58.18
3/12/19,56.67
3/13/19,57.79
3/14/19,57.99
3/15/19,55.09
3/18/19,53.9
3/19/19,53.49
3/20/19,54.72
3/21/19,54.8
3/22/19,52.91
3/25/19,52.08
3/26/19,53.55
3/27/19,54.97
3/28/19,55.72
3/29/19,55.97
4/1/19,57.84
4/2/19,57.18
4/3/19,58.36
4/4/19,53.56
4/5/19,54.99
4/8/19,54.64
4/9/19,54.46
4/10/19,55.21
4/11/19,53.68
4/12/19,53.54
4/15/19,53.28
4/16/19,54.67
4/17/19,54.25
4/18/19,54.65
4/22/19,52.55
4/23/19,52.78
4/24/19,51.73
4/25/19,49.53
4/26/19,47.03
4/29/19,48.29
4/30/19,47.74
5/1/19,46.8
5/2/19,48.82
5/3/19,51.01
5/6/19,51.07
5/7/19,49.41
5/8/19,48.97
5/9/19,48.4
5/10/19,47.9
5/13/19,45.4
5/14/19,46.46
5/15/19,46.39
5/16/19,45.67
5/17/19,42.21
5/20/19,41.07
5/21/19,41.02
5/22/19,38.55
5/23/19,39.1
5/24/19,38.13
5/28/19,37.74
5/29/19,37.97
5/30/19,37.64
5/31/19,37.03
6/3/19,35.79
6/4/19,38.72
6/5/19,39.32
6/6/19,41.19
6/7/19,40.9
6/10/19,42.58
6/11/19,43.42
6/12/19,41.85
6/13/19,42.78
6/14/19,42.98
6/17/19,45.01
6/18/19,44.95
6/19/19,45.29
6/20/19,43.92
6/21/19,44.37
6/24/19,44.73
6/25/19,43.95
6/26/19,43.85
6/27/19,44.57
6/28/19,44.69
7/1/19,45.43
7/2/19,44.91
7/3/19,46.98
7/5/19,46.62
7/8/19,46.07
7/9/19,46.01
7/10/19,47.78
7/11/19,47.72
7/12/19,49.02
7/15/19,50.7
7/16/19,50.48
7/17/19,50.97
7/18/19,50.71
7/19/19,51.64
7/22/19,51.14
7/23/19,52.03
7/24/19,52.98
7/25/19,45.76
7/26/19,45.61
7/29/19,47.15
7/30/19,48.45
7/31/19,48.32
8/1/19,46.77
8/2/19,46.87
8/5/19,45.66
8/6/19,46.15
8/7/19,46.68
8/8/19,47.66
8/9/19,47
