Date,Close
1/7/19,31.34
1/8/19,31.8
1/9/19,32.25
1/10/19,33.09
1/11/19,32.87
1/14/19,32.37
1/15/19,33.02
1/16/19,32.47
1/17/19,32.85
1/18/19,33.27
1/22/19,32.25
1/23/19,30.97
1/24/19,31.61
1/25/19,32.9
1/28/19,33.13
1/29/19,31.64
1/30/19,32.26
1/31/19,33.56
2/1/19,33.19
2/4/19,33.94
2/5/19,34.37
2/6/19,34.16
2/7/19,30.8
2/8/19,30.01
2/11/19,30.23
2/12/19,30.39
2/13/19,31.12
2/14/19,30.96
2/15/19,31.23
2/19/19,31.65
2/20/19,31.37
2/21/19,30.76
2/22/19,31.71
2/25/19,31.99
2/26/19,31.01
2/27/19,30.41
2/28/19,30.78
3/1/19,30.62
3/4/19,30.5
3/5/19,31.03
3/6/19,30.8
3/7/19,30.12
3/8/19,30.04
3/11/19,30.87
3/12/19,31.16
3/13/19,31.3
3/14/19,31.03
3/15/19,31.22
3/18/19,31.08
3/19/19,31.27
3/20/19,32.57
3/21/19,32.61
3/22/19,33.02
3/25/19,32.59
3/26/19,33.06
3/27/19,32.28
3/28/19,32.87
3/29/19,32.88
4/1/19,33.44
4/2/19,33.75
4/3/19,34.38
4/4/19,34.42
4/5/19,34.72
4/8/19,34.86
4/9/19,35.14
4/10/19,34.75
4/11/19,34.58
4/12/19,34.37
4/15/19,34.71
4/16/19,34.46
4/17/19,34.48
4/18/19,34.4
4/22/19,34.39
4/23/19,39.77
4/24/19,39.29
4/25/19,38.48
4/26/19,38.67
4/29/19,39.78
4/30/19,39.91
5/1/19,39.29
5/2/19,39.95
5/3/19,40.8
5/6/19,40.23
5/7/19,38.62
5/8/19,38.58
5/9/19,38.79
5/10/19,38.45
5/13/19,36.59
5/14/19,36.93
5/15/19,37.9
5/16/19,38.3
5/17/19,37.5
5/20/19,37.15
5/21/19,37.47
5/22/19,38.58
5/23/19,37.19
5/24/19,37.41
5/28/19,37.29
5/29/19,36.85
5/30/19,37.14
5/31/19,36.44
6/3/19,34.43
6/4/19,36.1
6/5/19,36.33
6/6/19,36.59
6/7/19,37.93
6/10/19,37.64
6/11/19,37.21
6/12/19,37.49
6/13/19,36.34
6/14/19,36.15
6/17/19,36.44
6/18/19,36.65
6/19/19,36.29
6/20/19,35.44
6/21/19,35.02
6/24/19,35.58
6/25/19,34.72
6/26/19,35.22
6/27/19,34.75
6/28/19,34.9
7/1/19,36.08
7/2/19,36.22
7/3/19,36.02
7/5/19,36.25
7/8/19,36.45
7/9/19,37.65
7/10/19,37.47
7/11/19,37.21
7/12/19,37.84
7/15/19,38.68
7/16/19,37.99
7/17/19,37.7
7/18/19,37.66
7/19/19,36.77
7/22/19,37.58
7/23/19,37.9
7/24/19,38.73
7/25/19,38.12
7/26/19,41.52
7/29/19,41.5
7/30/19,41
7/31/19,42.31
8/1/19,42.08
8/2/19,42.85
