Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
JPM,2052019,1,JPM02052019,
JPM,2212019,1,JPM02212019,-0.4767
JPM,3192019,1,JPM03192019,0.9075
JPM,4092019,1,JPM04092019,0.5236
JPM,6132019,1,JPM06132019,
JPM,9052019,1,JPM09052019,0.2023
JPM,10182019,1,JPM10182019,0.9756
JPM,2112020,1,JPM02112020,0.9694
JPM,4092020,1,JPM04092020,0.9874
JPM,4292020,1,JPM04292020,-0.4215
JPM,5282020,1,JPM05282020,0.5927
JPM,7162020,1,JPM07162020,-0.3818
JPM,8122020,1,JPM08122020,-0.9135
JPM,8282020,1,JPM08282020,0.5719
JPM,10082020,1,JPM10082020,0.9918
JPM,11092020,1,JPM11092020,0.9908
JPM,2122019,0,JPM02122019,
JPM,3112019,0,JPM03112019,-0.3751
JPM,3252019,0,JPM03252019,-0.8934
JPM,5142019,0,JPM05142019,0.9186
JPM,8062019,0,JPM08062019,0.7845
JPM,10032019,0,JPM10032019,0.5994
JPM,1132020,0,JPM01132020,0.998
JPM,2252020,0,JPM02252020,0.9714
JPM,4242020,0,JPM04242020,-0.8885
JPM,5122020,0,JPM05122020,0
JPM,6222020,0,JPM06222020,-0.1531
JPM,8052020,0,JPM08052020,0.5106
JPM,8272020,0,JPM08272020,-0.296
JPM,9182020,0,JPM09182020,-0.5859
JPM,10292020,0,JPM10292020,0.8555
JPM,12212020,0,JPM12212020,0.989
AAPL,2052019,1,AAPL02052019,0.8268
AAPL,6122019,1,AAPL06122019,0.9408
AAPL,8212019,1,AAPL08212019,0.9975
AAPL,4082020,1,AAPL04082020,-0.3818
AAPL,10062020,1,AAPL10062020,0.9967
AAPL,3192019,1,AAPL03192019,0.8897
AAPL,6192019,1,AAPL06192019,0.993
AAPL,8162019,1,AAPL08162019,0.1027
AAPL,4212020,1,AAPL04212020,0.9906
AAPL,10122020,1,AAPL10122020,0.9993
AAPL,3192019,1,AAPL03192019,0.8897
AAPL,7022019,1,AAPL07022019,0.9876
AAPL,4302020,1,AAPL04302020,0.9989
AAPL,5302019,1,AAPL05302019,-0.9896
AAPL,6212019,1,AAPL06212019,-0.9325
AAPL,5302019,1,AAPL05302019,-0.9896
AAPL,7292019,1,AAPL07292019,0.9418
AMZN,3012019,1,AMZN03012019,
AMZN,6172019,1,AMZN06172019,-0.5296
AMZN,9092019,1,AMZN09092019,0.9699
AMZN,10182019,1,AMZN10182019,0.6705
AMZN,12032019,1,AMZN12032019,0.9997
AMZN,12202019,1,AMZN12202019,0.9302
AMZN,2032020,1,AMZN02032020,0.9925
AMZN,3272020,1,AMZN03272020,0.9933
AMZN,5152020,1,AMZN05152020,-0.1202
AMZN,8062020,1,AMZN08062020,0.9771
AMZN,10052020,1,AMZN10052020,0.9711
AMZN,11162020,1,AMZN11162020,0.9666
AMZN,12022020,1,AMZN12022020,0.9977
AMZN,12162020,1,AMZN12162020,0.99
AMZN,3262019,1,AMZN03262019,0.5574
AMZN,7032019,1,AMZN07032019,0.9641
AMZN,11112019,1,AMZN11112019,0.9771
AMZN,12232019,1,AMZN12232019,0.9965
AMZN,4162020,1,AMZN04162020,0.9973
AMZN,10262020,1,AMZN10262020,0.9777
AMZN,3262019,1,AMZN03262019,0.5574
AMZN,6192019,1,AMZN06192019,0.9906
AMZN,11042019,1,AMZN11042019,0.9678
AMZN,11272019,1,AMZN11272019,0.9971
AMZN,12202019,1,AMZN12202019,0.9302
AMZN,4092020,1,AMZN04092020,0.9933
AMZN,10122020,1,AMZN10122020,0.9987
AMZN,11162020,1,AMZN11162020,0.9666
AMZN,6062019,1,AMZN06062019,0.9877
AMZN,12262019,1,AMZN12262019,0.9996
AMZN,4092020,1,AMZN04092020,0.9933
AMZN,6062019,1,AMZN06062019,0.9877
AMZN,12312019,1,AMZN12312019,0.9841
AMZN,12012020,1,AMZN12012020,0.9998
BTC,2112019,1,BTC02112019,
BTC,3132019,1,BTC03132019,
BTC,6172019,1,BTC06172019,
BTC,8052019,1,BTC08052019,
BTC,9082019,1,BTC09082019,
BTC,10142019,1,BTC10142019,
BTC,10272019,1,BTC10272019,
BTC,12122019,1,BTC12122019,
BTC,12262019,1,BTC12262019,
BTC,3282020,1,BTC03282020,
BTC,6022020,1,BTC06022020,
BTC,7122020,1,BTC07122020,
BTC,7222020,1,BTC07222020,
BTC,9202020,1,BTC09202020,
BTC,10022020,1,BTC10022020,
BTC,2242019,1,BTC02242019,
BTC,8182019,1,BTC08182019,
BTC,11062019,1,BTC11062019,
BTC,1082020,1,BTC01082020,
