Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
21-Sep,AAPL,2/5/2019,5/14/2019,500,43.544998,47.165001,21772.499,23582.5005,1810.0015
21-Sep,AAPL,6/12/2019,8/7/2019,500,48.547501,49.759998,24273.7505,24879.999,606.2485
21-Sep,AAPL,8/21/2019,2/25/2020,500,53.16,72.019997,26580,36009.9985,9429.9985
21-Sep,AAPL,4/8/2020,9/14/2020,500,66.517502,115.360001,33258.751,57680.0005,24421.2495
21-Sep,AAPL,10/6/2020,10/28/2020,500,113.160004,111.199997,56580.002,55599.9985,-980.0035
Sep-50,AAPL,3/19/2019,5/17/2019,500,46.6325,47.25,23316.25,23625,308.75
Sep-50,AAPL,6/19/2019,8/15/2019,500,49.467499,50.435001,24733.7495,25217.5005,483.751
Sep-50,AAPL,8/16/2019,2/27/2020,500,51.625,68.379997,25812.5,34189.9985,8377.4985
Sep-50,AAPL,4/21/2020,9/23/2020,500,67.092499,107.120003,33546.2495,53560.0015,20013.752
Sep-50,AAPL,10/12/2020,10/27/2020,500,124.400002,116.599998,62200.001,58299.999,-3900.002
21-50,AAPL,3/19/2019,5/24/2019,500,46.6325,44.7425,23316.25,22371.25,-945
21-50,AAPL,7/2/2019,3/6/2020,500,50.682499,72.2575,25341.2495,36128.75,10787.5005
21-50,AAPL,4/30/2020,10/2/2020,500,73.449997,113.019997,36724.9985,56509.9985,19785
21-100,AAPL,5/30/2019,6/11/2019,500,44.575001,48.702499,22287.5005,24351.2495,2063.749
21-100,AAPL,6/21/2019,3/18/2020,500,49.695,61.6675,24847.5,30833.75,5986.25
50-100,AAPL,5/30/2019,7/22/2019,500,44.575001,51.805,22287.5005,25902.5,3614.9995
50-100,AAPL,7/29/2019,4/7/2020,500,52.419998,64.857498,26209.999,32428.749,6218.75
