Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,AMZN,3/1/2019,5/15/2019,500,1671.72998,1871.150024,8.36E+05,9.36E+05,99710.022
9-21,AMZN,6/17/2019,7/30/2019,500,1886.030029,1898.530029,9.43E+05,9.49E+05,6250
9-21,AMZN,9/9/2019,9/25/2019,500,1831.349976,1768.329956,9.16E+05,8.84E+05,-31510.01
9-21,AMZN,10/18/2019,11/15/2019,500,1757.51001,1739.48999,8.79E+05,8.70E+05,-9010.01
9-21,AMZN,12/3/2019,12/11/2019,500,1769.959961,1748.719971,8.85E+05,8.74E+05,-10619.995
9-21,AMZN,12/20/2019,1/27/2020,500,1786.5,1828.339966,8.93E+05,9.14E+05,20919.983
9-21,AMZN,2/3/2020,2/28/2020,500,2004.199951,1883.75,1.00E+06,9.42E+05,-60224.9755
9-21,AMZN,3/27/2020,5/13/2020,500,1900.099976,2367.919922,9.50E+05,1.18E+06,233909.973
9-21,AMZN,5/15/2020,7/31/2020,500,2409.780029,3164.679932,1.20E+06,1.58E+06,377449.9515
9-21,AMZN,8/6/2020,9/14/2020,500,3225,3102.969971,1.61E+06,1.55E+06,-61015.0145
9-21,AMZN,10/5/2020,10/27/2020,500,3199.199951,3286.330078,1.60E+06,1.64E+06,43565.0635
9-21,AMZN,11/16/2020,11/17/2020,500,3131.060059,3135.659912,1.57E+06,1.57E+06,2299.9265
9-21,AMZN,12/2/2020,12/15/2020,500,3203.530029,3165.120117,1.60E+06,1.58E+06,-19204.956
9-21,AMZN,12/16/2020,1/12/2021,500,3240.959961,3120.830078,1.62E+06,1.56E+06,-60064.9415
21-50,AMZN,3/26/2019,6/4/2019,500,1783.76001,1729.560059,8.92E+05,8.65E+05,-27099.9755
21-50,AMZN,7/3/2019,8/13/2019,500,1939,1824.339966,9.70E+05,9.12E+05,-57330.017
21-50,AMZN,11/11/2019,12/11/2019,500,1771.650024,1748.719971,8.86E+05,8.74E+05,-11465.0265
21-50,AMZN,12/23/2019,3/16/2020,500,1793,1689.150024,8.97E+05,8.45E+05,-51924.988
21-50,AMZN,4/16/2020,9/29/2020,500,2408.189941,3144.879883,1.20E+06,1.57E+06,368344.971
21-50,AMZN,10/26/2020,11/16/2020,500,3207.040039,3131.060059,1.60E+06,1.57E+06,-37989.99
9-50,AMZN,3/26/2019,5/29/2019,500,1783.76001,1819.189941,8.92E+05,9.10E+05,17714.9655
9-50,AMZN,6/19/2019,8/5/2019,500,1908.790039,1765.130005,9.54E+05,8.83E+05,-71830.017
9-50,AMZN,11/4/2019,11/18/2019,500,1804.660034,1752.530029,9.02E+05,8.76E+05,-26065.0025
9-50,AMZN,11/27/2019,12/11/2019,500,1818.51001,1748.719971,9.09E+05,8.74E+05,-34895.0195
9-50,AMZN,12/20/2019,3/5/2020,500,1786.5,1924.030029,8.93E+05,9.62E+05,68765.0145
9-50,AMZN,4/9/2020,9/17/2020,500,2042.76001,3008.72998,1.02E+06,1.50E+06,482984.985
9-50,AMZN,10/12/2020,10/28/2020,500,3442.929932,3162.780029,1.72E+06,1.58E+06,-140074.9515
9-50,AMZN,11/16/2020,11/17/2020,500,3131.060059,3135.659912,1.57E+06,1.57E+06,2299.9265
21-100,AMZN,6/6/2019,8/15/2019,500,1754.359985,1776.119995,8.77E+05,8.88E+05,10880.005
21-100,AMZN,12/26/2019,3/25/2020,500,1868.77002,1885.839966,9.34E+05,9.43E+05,8534.973
21-100,AMZN,4/9/2020,11/18/2020,500,2042.76001,3105.459961,1.02E+06,1.55E+06,531349.9755
50-100,AMZN,6/6/2019,9/11/2019,500,1754.359985,1822.98999,8.77E+05,9.11E+05,34315.0025
50-100,AMZN,12/31/2019,11/18/2020,500,1847.839966,3105.459961,9.24E+05,1.55E+06,628809.9975
50-100,AMZN,12/1/2020,12/11/2020,500,3220.080078,3116.419922,1.61E+06,1.56E+06,-51830.078
,,,,,,,,,
,,,,,,,,,
