Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,BTC,2/11/2019,3/7/2019,500,3648.430664,3911.484375,1.82E+06,1.96E+06,1.32E+05
9-21,BTC,3/13/2019,6/8/2019,500,3906.717285,7954.12793,1.95E+06,3.98E+06,2.02E+06
9-21,BTC,6/17/2019,7/16/2019,500,9320.352539,9477.641602,4.66E+06,4.74E+06,7.86E+04
9-21,BTC,8/5/2019,8/18/2019,500,11805.65332,10345.81055,5.90E+06,5.17E+06,-7.30E+05
9-21,BTC,9/8/2019,9/21/2019,500,10441.27637,10019.7168,5.22E+06,5.01E+06,-2.11E+05
9-21,BTC,10/14/2019,10/18/2019,500,8374.686523,7973.20752,4.19E+06,3.99E+06,-2.01E+05
9-21,BTC,10/27/2019,11/13/2019,500,9551.714844,8808.262695,4.78E+06,4.40E+06,-3.72E+05
9-21,BTC,12/12/2019,12/14/2019,500,7243.134277,7124.673828,3.62E+06,3.56E+06,-5.92E+04
9-21,BTC,12/26/2019,2/23/2020,500,7238.966797,9924.515625,3.62E+06,4.96E+06,1.34E+06
9-21,BTC,3/28/2020,5/26/2020,500,6242.193848,8835.052734,3.12E+06,4.42E+06,1.30E+06
9-21,BTC,6/2/2020,6/16/2020,500,9529.803711,9538.024414,4.76E+06,4.77E+06,4.11E+03
9-21,BTC,7/12/2020,7/19/2020,500,9276.5,9185.817383,4.64E+06,4.59E+06,-4.53E+04
9-21,BTC,7/22/2020,8/26/2020,500,9525.363281,11488.36328,4.76E+06,5.74E+06,9.82E+05
9-21,BTC,9/20/2020,9/29/2020,500,10938.27148,10848.83008,5.47E+06,5.42E+06,-4.47E+04
9-21,BTC,10/2/2020,10/3/2020,500,10585.16406,10565.49316,5.29E+06,5.28E+06,-9.84E+03
21-50,BTC,2/24/2019,7/30/2019,500,3810.42749,9607.423828,1.91E+06,4.80E+06,2.90E+06
21-50,BTC,8/18/2019,8/29/2019,500,10345.81055,9510.200195,5.17E+06,4.76E+06,-4.18E+05
21-50,BTC,11/6/2019,11/24/2019,500,9360.879883,7047.916992,4.68E+06,3.52E+06,-1.16E+06
21-50,BTC,1/8/2020,3/6/2020,500,8079.862793,9122.545898,4.04E+06,4.56E+06,5.21E+05
21-50,BTC,4/19/2020,6/29/2020,500,7189.424805,9190.854492,3.59E+06,4.60E+06,1.00E+06
21-50,BTC,7/27/2020,9/9/2020,500,10990.87305,10242.34766,5.50E+06,5.12E+06,-3.74E+05
9-50,BTC,2/24/2019,7/24/2019,500,3810.42749,9811.925781,1.91E+06,4.91E+06,3.00E+06
9-50,BTC,8/7/2019,8/18/2019,500,11941.96875,10345.81055,5.97E+06,5.17E+06,-7.98E+05
9-50,BTC,9/10/2019,9/11/2019,500,10115.97559,10178.37207,5.06E+06,5.09E+06,3.12E+04
9-50,BTC,10/31/2019,11/19/2019,500,9199.584961,8206.145508,4.60E+06,4.10E+06,-4.97E+05
9-50,BTC,1/7/2020,2/29/2020,500,8163.692383,8599.508789,4.08E+06,4.30E+06,2.18E+05
9-50,BTC,4/18/2020,6/21/2020,500,7257.665039,9303.629883,3.63E+06,4.65E+06,1.02E+06
9-50,BTC,6/22/2020,6/24/2020,500,9648.717773,9313.610352,4.82E+06,4.66E+06,-1.68E+05
9-50,BTC,7/25/2020,9/6/2020,500,9677.113281,10280.35156,4.84E+06,5.14E+06,3.02E+05
21-100,BTC,4/15/2019,9/6/2019,500,5067.108398,10353.30273,2.53E+06,5.18E+06,2643097.168
21-100,BTC,1/19/2020,3/14/2020,500,8706.245117,5200.366211,4.35E+06,2.60E+06,-1752939.453
50-100,BTC,4/15/2019,9/20/2019,500,5067.108398,10181.6416,2.53E+06,5.09E+06,2.56E+06
50-100,BTC,2/4/2020,3/27/2020,500,9180.962891,6469.79834,4.59E+06,3.23E+06,-1.36E+06
50-100,BTC,5/20/2020,10/18/2020,500,9522.981445,11483.35938,4.76E+06,5.74E+06,9.80E+05
50-200,BTC,7/24/2019,10/26/2019,500,9811.925781,9244.972656,4.91E+06,4622486.328,-2.83E+05
50-200,BTC,2/19/2020,3/25/2020,500,9633.386719,6681.062988,4.82E+06,3340531.494,-1.48E+06
