Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,FB,2/12/2019,2/27/2019,500,165.039993,162.809998,82519.9965,81404.999,-1114.9975
9-21,FB,3/6/2019,3/22/2019,500,172.509995,164.339996,86254.9975,82169.998,-4084.9995
9-21,FB,4/4/2019,5/16/2019,500,176.020004,186.990005,88010.002,93495.0025,5485.0005
9-21,FB,6/19/2019,7/31/2019,500,187.479996,194.229996,93739.998,97114.998,3375
9-21,FB,9/6/2019,9/26/2019,500,187.490005,180.110001,93745.0025,90055.0005,-3690.002
9-21,FB,10/16/2019,12/17/2019,500,189.550003,198.389999,94775.0015,99194.9995,4419.998
9-21,FB,12/18/2019,1/31/2020,500,202.5,201.910004,101250,100955.002,-294.998
9-21,FB,2/21/2020,2/24/2020,500,210.179993,200.720001,105089.9965,100360.0005,-4729.996
9-21,FB,4/3/2020,7/2/2020,500,154.179993,233.419998,77089.9965,116709.999,39620.0025
9-21,FB,7/10/2020,7/28/2020,500,245.070007,230.119995,122535.0035,115059.9975,-7475.006
9-21,FB,8/6/2020,9/15/2020,500,265.279999,272.420013,132639.9995,136210.0065,3570.007
9-21,FB,10/7/2020,11/19/2020,500,258.119995,272.940002,129059.9975,136470.001,7410.0035
9-21,FB,12/4/2020,12/18/2020,500,279.700012,276.399994,139850.006,138199.997,-1650.009
21-50,FB,3/26/2019,6/6/2019,500,167.679993,168.330002,83839.9965,84165.001,325.0045
21-50,FB,7/5/2019,8/19/2019,500,196.399994,186.169998,98199.997,93084.999,-5114.998
21-50,FB,10/30/2019,2/25/2020,500,188.25,196.770004,94125,98385.002,4260.002
21-50,FB,4/30/2020,10/2/2020,500,204.710007,259.940002,102355.0035,129970.001,27614.9975
21-50,FB,11/4/2020,12/31/2020,500,287.380005,273.160004,143690.0025,136580.002,-7110.0005
9-50,FB,3/26/2019,6/3/2019,500,167.679993,164.149994,83839.9965,82074.997,-1764.9995
9-50,FB,6/21/2019,8/9/2019,500,191.139999,187.850006,95569.9995,93925.003,-1644.9965
9-50,FB,10/18/2019,2/11/2020,500,185.850006,207.190002,92925.003,103595.001,10669.998
9-50,FB,2/13/2020,2/25/2020,500,213.139999,196.770004,106569.9995,98385.002,-8184.9975
9-50,FB,4/23/2020,9/22/2020,500,185.130005,254.75,92565.0025,127375,34809.9975
9-50,FB,10/21/2020,12/21/2020,500,278.730011,272.790009,139365.0055,136395.0045,-2970.001
50-100,FB,6/6/2019,10/1/2019,500,168.330002,175.809998,84165.001,87904.999,3739.998
50-100,FB,12/4/2019,3/20/2020,500,198.710007,149.729996,99355.0035,74864.998,-24490.0055
21-100,FB,6/6/2019,8/26/2019,500,168.330002,180.360001,84165.001,90180.0005,6014.9995
21-100,FB,11/8/2019,3/9/2020,500,190.839996,169.5,95419.998,84750,-10669.998
21-100,FB,5/13/2020,1/8/2021,500,205.100006,267.570007,102550.003,133785.0035,31235.0005
50-200,FB,10/28/2019,3/27/2020,500,189.399994,156.789993,94699.997,78394.9965,-16305.0005
