Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,GOOG,2/12/2019,2/28/2019,500,1121.369995,1119.920044,560684.9975,559960.022,-724.9755
9-21,GOOG,3/1/2019,4/5/2019,500,1140.98999,1207.150024,570494.995,603575.012,33080.017
9-21,GOOG,4/9/2019,5/6/2019,500,1197.25,1189.390015,598625,594695.0075,-3929.9925
9-21,GOOG,6/21/2019,8/15/2019,500,1121.880005,1167.26001,560940.0025,583630.005,22690.0025
9-21,GOOG,9/6/2019,10/3/2019,500,1204.930054,1187.829956,602465.027,593914.978,-8550.049
9-21,GOOG,10/17/2019,12/3/2019,500,1253.069946,1295.280029,626534.973,647640.0145,21105.0415
9-21,GOOG,12/6/2019,2/27/2020,500,1340.619995,1318.089966,670309.9975,659044.983,-11265.0145
9-21,GOOG,4/7/2020,6/29/2020,500,1186.51001,1394.969971,593255.005,697484.9855,104229.9805
9-21,GOOG,7/8/2020,8/3/2020,500,1496,1474.449951,748000,737224.9755,-10775.0245
9-21,GOOG,8/19/2020,9/14/2020,500,1547.530029,1519.280029,773765.0145,759640.0145,-14125
9-21,GOOG,10/9/2020,12/17/2020,500,1515.219971,1747.900024,757609.9855,873950.012,116340.0265
21-50,GOOG,3/26/2019,5/17/2019,500,1184.619995,1162.300049,592309.9975,581150.0245,-11159.973
21-50,GOOG,7/17/2019,3/9/2020,500,1146.349976,1215.560059,573174.988,607780.0295,34605.0415
21-50,GOOG,5/1/2020,9/29/2020,500,1320.609985,1469.329956,660304.9925,734664.978,74359.9855
21-50,GOOG,10/30/2020,1/12/2021,500,1621.01001,1746.550049,810505.005,873275.0245,62770.0195
9-50,GOOG,3/26/2019,5/9/2019,500,1184.619995,1162.380005,592309.9975,581190.0025,-11119.995
9-50,GOOG,7/11/2019,3/2/2020,500,1144.209961,1389.109985,572104.9805,694554.9925,122450.012
9-50,GOOG,4/24/2020,9/17/2020,500,1279.310059,1495.530029,639655.0295,747765.0145,108109.985
9-50,GOOG,10/19/2020,1/12/2021,500,1534.609985,1746.550049,767304.9925,873275.0245,105970.032
50-100,GOOG,6/6/2019,6/21/2019,500,1044.339966,1121.880005,522169.983,560940.0025,38770.0195
50-100,GOOG,8/29/2019,3/31/2020,500,1192.849976,1162.810059,596424.988,581405.0295,-15019.9585
21-100,GOOG,8/2/2019,3/16/2020,500,1193.98999,1084.329956,596994.995,542164.978,-54830.017
21-100,GOOG,5/20/2020,10/6/2020,500,1406.719971,1453.439941,703359.9855,726719.9705,23359.985
50-200,GOOG,10/28/2019,4/21/2020,500,1290,1216.339966,645000,608169.983,-36830.017
