Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,Gold,2/6/2019,3/3/2019,500,1309.5,1296.300049,654750,648150.0245,-6599.9755
9-21,Gold,3/21/2019,4/3/2019,500,1306.099976,1289.900024,653049.988,644950.012,-8099.976
9-21,Gold,5/6/2019,5/23/2019,500,1281.699951,1284.800049,640849.9755,642400.0245,1550.049
9-21,Gold,6/2/2019,9/10/2019,500,1313.699951,1490.300049,656849.9755,745150.0245,88300.049
9-21,Gold,9/26/2019,10/2/2019,500,1507.5,1501,753750,750500,-3250
9-21,Gold,10/30/2019,11/10/2019,500,1493.199951,1461.800049,746599.9755,730900.0245,-15699.951
9-21,Gold,12/5/2019,2/12/2020,500,1476.900024,1567.400024,738450.012,783700.012,45250
9-21,Gold,2/16/2020,3/16/2020,500,1585.099976,1485.900024,792549.988,742950.012,-49599.976
9-21,Gold,3/30/2020,5/3/2020,500,1622,1704.900024,811000,852450.012,41450.012
9-21,Gold,5/15/2020,6/1/2020,500,1753.400024,1737.800049,876700.012,868900.0245,-7799.9875
9-21,Gold,6/17/2020,8/18/2020,500,1729.199951,1999.400024,864599.9755,999700.012,135100.0365
9-21,Gold,9/4/2020,9/8/2020,500,1923.900024,1933,961950.012,966500,4549.988
9-21,Gold,9/9/2020,9/11/2020,500,1944.699951,1937.800049,972349.9755,968900.0245,-3449.951
9-21,Gold,9/17/2020,9/22/2020,500,1940,1898.599976,970000,949299.988,-20700.012
9-21,Gold,10/14/2020,10/29/2020,500,1901.300049,1865.599976,950650.0245,932799.988,-17850.0365
21-50,Gold,3/13/2019,3/17/2019,500,1307.5,1300.800049,653750,650400.0245,-3349.9755
21-50,Gold,5/31/2019,9/29/2019,500,1305.800049,1503.599976,652900.0245,751799.988,98899.9635
21-50,Gold,12/29/2019,3/24/2020,500,1517,1660.199951,758500,830099.9755,71599.9755
21-50,Gold,4/13/2020,9/17/2020,500,1744.800049,1940,872400.0245,970000,97599.9755
9-50,Gold,6/2/2019,9/30/2019,500,1313.699951,1465.699951,656849.9755,732849.9755,76000
9-50,Gold,11/3/2019,11/6/2019,500,1515.099976,1490.199951,757549.988,745099.9755,-12450.0125
9-50,Gold,12/23/2019,3/18/2020,500,1482.5,1477.300049,741250,738650.0245,-2599.9755
9-50,Gold,3/30/2020,6/7/2020,500,1622,1684.599976,811000,842299.988,31299.988
9-50,Gold,6/16/2020,9/17/2020,500,1729.599976,1940,864799.988,970000,105200.012
50-100,Gold,6/20/2019,11/17/2019,500,1392.900024,1470.099976,696450.012,735049.988,38599.976
50-100,Gold,1/16/2020,11/10/2020,500,1549,1875.400024,774500,937700.012,163200.012
21-100,Gold,6/9/2019,11/11/2019,500,1339.5,1455.5,669750,727750,58000
21-100,Gold,1/5/2020,10/30/2020,500,1571.599976,1877.400024,785799.988,938700.012,152900.024
,,,,,,,,,
,,,,,,,,,
