Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,MRNA,2/7/2019,3/14/2019,500,17.049999,20.82,8524.9995,10410,1885.0005
9-21,MRNA,4/5/2019,5/15/2019,500,25.959999,23.120001,12979.9995,11560.0005,-1419.999
9-21,MRNA,8/21/2019,10/2/2019,500,14.29,14.86,7145,7430,285
9-21,MRNA,10/24/2019,12/12/2019,500,16.59,18.450001,8295,9225.0005,930.0005
9-21,MRNA,12/31/2019,1/8/2020,500,19.559999,17.98,9779.9995,8990,-789.9995
9-21,MRNA,1/17/2020,2/12/2020,500,20.620001,19.01,10310.0005,9505,-805.0005
9-21,MRNA,2/27/2020,6/3/2020,500,26.16,59.889999,13080,29944.9995,16864.9995
9-21,MRNA,6/18/2020,7/6/2020,500,64.949997,59.150002,32474.9985,29575.001,-2899.9975
9-21,MRNA,7/14/2020,8/7/2020,500,75.040001,74.099998,37520.0005,37049.999,-470.0015
9-21,MRNA,9/22/2020,10/26/2020,500,68.720001,70.239998,34360.0005,35119.999,759.9985
9-21,MRNA,11/11/2020,12/23/2020,500,82.440002,130.339996,41220.001,65169.998,23949.997
9-50,MRNA,3/19/2019,5/22/2019,500,20.35,22,10175,11000,825
9-50,MRNA,8/28/2019,10/10/2019,500,14.82,14.16,7410,7080,-330
9-50,MRNA,10/28/2019,1/9/2020,500,17.030001,18.4,8515.0005,9200,684.9995
9-50,MRNA,1/16/2020,2/21/2020,500,21.01,18.23,10505,9115,-1390
9-50,MRNA,2/26/2020,8/19/2020,500,29.16,68,14580,34000,19420
21-50,MRNA,3/19/2019,6/3/2019,500,20.35,19.85,10175,9925,-250
21-50,MRNA,9/5/2019,10/22/2019,500,15.53,15.92,7765,7960,195
21-50,MRNA,11/11/2019,8/28/2020,500,17.4,67.489998,8700,33744.999,25044.999
21-100,MRNA,5/30/2019,6/11/2019,500,21.49,16,10745,8000,-2745
21-100,MRNA,9/26/2019,9/11/2020,500,16.34,59.34,8170,29670,21500
50-100,MRNA,5/30/2019,6/27/2019,500,21.49,14.34,10745,7170,-3575
50-100,MRNA,10/17/2019,10/19/2020,500,14.54,70.959999,7270,35479.9995,28209.9995
,,,,,,,,,
