Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,MSFT,2/13/2019,5/15/2019,500,106.809998,126.019997,53404.999,63009.9985,9604.9995
9-21,MSFT,5/29/2019,5/30/2019,500,124.940002,125.730003,62470.001,62865.0015,395.0005
9-21,MSFT,6/11/2019,8/6/2019,500,132.100006,134.690002,66050.003,67345.001,1294.998
9-21,MSFT,8/28/2019,9/4/2019,500,135.559998,137.630005,67779.999,68815.0025,1035.0035
9-21,MSFT,9/6/2019,10/3/2019,500,139.100006,136.279999,69550.003,68139.9995,-1410.0035
9-21,MSFT,10/15/2019,2/27/2020,500,141.570007,158.179993,70785.0035,79089.9965,8304.993
9-21,MSFT,4/2/2020,6/3/2020,500,155.259995,185.360001,77629.9975,92680.0005,15050.003
9-21,MSFT,6/8/2020,7/27/2020,500,188.360001,203.850006,94180.0005,101925.003,7745.0025
9-21,MSFT,8/6/2020,9/14/2020,500,216.350006,205.410004,108175.003,102705.002,-5470.001
9-21,MSFT,10/2/2020,10/28/2020,500,206.190002,202.679993,103095.001,101339.9965,-1755.0045
9-21,MSFT,11/12/2020,11/30/2020,500,215.440002,214.070007,107720.001,107035.0035,-684.9975
9-21,MSFT,12/8/2020,12/14/2020,500,216.009995,214.199997,108004.9975,107099.9985,-904.999
9-21,MSFT,12/16/2020,1/12/2021,500,219.279999,214.929993,109639.9995,107464.9965,-2175.003
21-50,MSFT,3/26/2019,8/26/2019,500,117.910004,135.449997,58955.002,67724.9985,8769.9965
21-50,MSFT,9/24/2019,3/13/2020,500,137.380005,158.830002,68690.0025,79415.001,10724.9985
21-50,MSFT,4/23/2020,9/29/2020,500,171.419998,207.259995,85709.999,103629.9975,17919.9985
21-50,MSFT,10/22/2020,12/15/2020,500,214.889999,214.130005,107444.9995,107065.0025,-379.997
9-50,MSFT,3/26/2019,8/15/2019,500,117.910004,133.679993,58955.002,66839.9965,7884.9945
9-50,MSFT,8/19/2019,8/22/2019,500,138.410004,137.779999,69205.002,68889.9995,-315.0025
9-50,MSFT,9/6/2019,9/18/2019,500,139.100006,138.520004,69550.003,69260.002,-290.001
9-50,MSFT,9/19/2019,10/9/2019,500,141.070007,138.240005,70535.0035,69120.0025,-1415.001
9-50,MSFT,10/10/2019,3/4/2020,500,139.100006,170.550003,69550.003,85275.0015,15724.9985
9-50,MSFT,4/15/2020,9/15/2020,500,171.880005,208.779999,85940.0025,104389.9995,18449.997
9-50,MSFT,10/13/2020,10/29/2020,500,222.860001,204.720001,111430.0005,102360.0005,-9070
9-50,MSFT,11/10/2020,12/15/2020,500,211.009995,214.130005,105504.9975,107065.0025,1560.005
21-100,MSFT,6/6/2019,3/20/2020,500,127.82,137.350006,63910,68675.003,4765.003
50-100,MSFT,6/6/2019,4/24/2020,500,127.82,174.550003,63910,87275.0015,23365.0015
50-100,MSFT,5/27/2020,11/16/2020,500,181.809998,217.229996,90904.999,108614.998,17709.999
50-100,MSFT,11/17/2020,11/18/2020,500,214.460007,211.080002,107230.0035,105540.001,-1690.0025
