Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,Silver,2/6/2019,2/14/2019,500,15.656,15.5,7828,7750,-78
9-21,Silver,2/24/2019,3/3/2019,500,15.885,15.255,7942.5,7627.5,-315
9-21,Silver,3/21/2019,4/1/2019,500,15.372,15.051,7686,7525.5,-160.5
9-21,Silver,6/5/2019,7/9/2019,500,14.754,15.068,7377,7534,157
9-21,Silver,7/17/2019,9/15/2019,500,15.893,17.83,7946.5,8915,968.5
9-21,Silver,10/21/2019,10/24/2019,500,17.525999,17.739,8762.9995,8869.5,106.5005
9-21,Silver,10/25/2019,11/10/2019,500,17.861,16.805,8930.5,8402.5,-528
9-21,Silver,12/1/2019,12/5/2019,500,17.059999,16.941999,8529.9995,8470.9995,-59
9-21,Silver,12/19/2019,1/19/2020,500,17.058001,18.040001,8529.0005,9020.0005,491
9-21,Silver,2/19/2020,3/2/2020,500,18.292,16.679001,9146,8339.5005,-806.4995
9-21,Silver,4/1/2020,4/28/2020,500,13.926,15.162,6963,7581,618
9-21,Silver,5/11/2020,6/11/2020,500,15.636,17.868999,7818,8934.4995,1116.4995
9-21,Silver,6/25/2020,8/27/2020,500,17.882999,27.01,8941.4995,13505,4563.5005
9-21,Silver,9/1/2020,9/14/2020,500,28.486,27.229,14243,13614.5,-628.5
9-21,Silver,10/15/2020,10/30/2020,500,24.193001,23.617001,12096.5005,11808.5005,-288
9-21,Silver,11/12/2020,11/25/2020,500,24.290001,23.356001,12145.0005,11678.0005,-467
21-50,Silver,6/20/2019,10/8/2019,500,15.469,17.617001,7734.5,8808.5005,1074.0005
21-50,Silver,1/2/2020,2/16/2020,500,17.966,17.690001,8983,8845.0005,-137.9995
21-50,Silver,2/24/2020,2/27/2020,500,18.868,17.658001,9434,8829.0005,-604.9995
21-50,Silver,4/27/2020,9/28/2020,500,15.201,23.528,7600.5,11764,4163.5
21-50,Silver,12/2/2020,12/8/2020,500,24.025,24.684,12012.5,12342,329.5
9-50,Silver,6/10/2019,10/3/2019,500,14.605,17.584999,7302.5,8792.4995,1489.9995
9-50,Silver,11/1/2019,11/8/2019,500,18.004,16.783001,9002,8391.5005,-610.4995
9-50,Silver,12/26/2019,2/12/2020,500,17.893999,17.478001,8946.9995,8739.0005,-207.999
9-50,Silver,2/20/2020,3/2/2020,500,18.309,16.679001,9154.5,8339.5005,-814.9995
9-50,Silver,4/20/2020,4/21/2020,500,15.556,14.818,7778,7409,-369
9-50,Silver,4/22/2020,9/23/2020,500,15.277,23.014,7638.5,11507,3868.5
50-100,Silver,7/19/2019,11/21/2019,500,16.117001,17.049999,8058.5005,8524.9995,466.499
50-100,Silver,1/27/2020,3/18/2020,500,18,11.735,9000,5867.5,-3132.5
50-100,Silver,6/3/2020,11/16/2020,500,17.921,24.785999,8960.5,12392.9995,3432.4995
21-100,Silver,6/26/2019,11/17/2019,500,15.283,16.965,7641.5,8482.5,841
21-100,Silver,1/7/2020,3/13/2020,500,18.316,14.456,9158,7228,-1930
21-100,Silver,5/24/2020,11/9/2020,500,17.645,23.684999,8822.5,11842.4995,3019.9995
50-200,Silver,9/10/2019,3/17/2020,500,18.041,12.469,9020.5,6234.5,-2786
