Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,TNX,3/1/2019,3/13/2019,500,2.755,2.611,1377.5,1305.5,-72
9-21,TNX,4/11/2019,5/3/2019,500,2.504,2.531,1252,1265.5,13.5
9-21,TNX,7/15/2019,7/30/2019,500,2.092,2.061,1046,1030.5,-15.5
9-21,TNX,9/11/2019,10/2/2019,500,1.733,1.596,866.5,798,-68.5
9-21,TNX,10/17/2019,11/22/2019,500,1.757,1.774,878.5,887,8.5
9-21,TNX,12/12/2019,1/8/2020,500,1.897,1.874,948.5,937,-11.5
9-21,TNX,3/26/2020,3/31/2020,500,0.811,0.698,405.5,349,-56.5
9-21,TNX,5/11/2020,6/19/2020,500,0.726,0.697,363,348.5,-14.5
9-21,TNX,8/13/2020,9/11/2020,500,0.716,0.669,358,334.5,-23.5
9-21,TNX,9/16/2020,9/22/2020,500,0.687,0.664,343.5,332,-11.5
9-21,TNX,10/6/2020,11/30/2020,500,0.742,0.844,371,422,51
9-50,TNX,9/20/2019,9/30/2019,500,1.755,1.675,877.5,837.5,-40
9-50,TNX,10/16/2019,1/15/2020,500,1.748,1.788,874,894,20
9-50,TNX,6/3/2020,6/29/2020,500,0.761,0.636,380.5,318,-62.5
21-50,TNX,10/3/2019,1/24/2020,500,1.536,1.681,768,840.5,72.5
21-50,TNX,6/3/2020,7/9/2020,500,0.761,0.605,380.5,302.5,-78
21-100,TNX,11/11/2019,1/31/2020,500,1.943,1.52,971.5,760,-211.5
50-100,TNX,12/5/2019,2/20/2020,500,1.797,1.525,898.5,762.5,-136
