Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,TSLA,2/13/2019,2/22/2019,500,61.633999,58.942001,30816.9995,29471.0005,-1345.999
9-21,TSLA,4/5/2019,4/15/2019,500,54.992001,53.276001,27496.0005,26638.0005,-858
9-21,TSLA,6/13/2019,8/1/2019,500,42.782001,46.77,21391.0005,23385,1993.9995
9-21,TSLA,9/9/2019,10/3/2019,500,46.358002,46.605999,23179.001,23302.9995,123.9985
9-21,TSLA,10/11/2019,12/3/2019,500,49.577999,67.239998,24788.9995,33619.999,8830.9995
9-21,TSLA,12/13/2019,3/3/2020,500,71.678001,149.102005,35839.0005,74551.0025,38712.002
9-21,TSLA,4/6/2020,8/4/2020,500,103.248001,297.399994,51624.0005,148699.997,97075.9965
9-21,TSLA,8/17/2020,9/14/2020,500,367.127991,419.619995,183563.9955,209809.9975,26246.002
9-21,TSLA,9/23/2020,10/27/2020,500,380.359985,424.679993,190179.9925,212339.9965,22160.004
9-50,TSLA,7/1/2019,8/15/2019,500,45.433998,43.127998,22716.999,21563.999,-1153
9-50,TSLA,9/13/2019,3/13/2020,500,49.040001,109.323997,24520.0005,54661.9985,30141.998
9-50,TSLA,4/20/2020,10/29/2020,500,149.272003,410.829987,74636.0015,205414.9935,130778.992
9-50,TSLA,11/12/2020,11/16/2020,500,411.76001,408.089996,205880.005,204044.998,-1835.007
21-50,TSLA,7/5/2019,8/21/2019,500,46.619999,44.166,23309.9995,22083,-1226.9995
21-50,TSLA,9/26/2019,3/20/2020,500,48.512001,85.505997,24256.0005,42752.9985,18496.998
21-50,TSLA,4/29/2020,11/16/2020,500,160.102005,408.089996,80051.0025,204044.998,123993.9955
21-100,TSLA,7/30/2019,8/19/2019,500,48.452,45.366001,24226,22683.0005,-1542.9995
21-100,TSLA,9/16/2019,4/2/2020,500,48.562,90.893997,24281,45446.9985,21165.9985
50-100,TSLA,8/26/2019,5/18/2020,500,43,162.725998,21500,81362.999,59862.999
