Window,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
9-21,TWTR,3/20/2019,5/16/2019,500,32.57,38.299999,16285,19149.9995,2864.9995
9-21,TWTR,6/18/2019,6/20/2019,500,36.650002,35.439999,18325.001,17719.9995,-605.0015
9-21,TWTR,7/10/2019,8/23/2019,500,37.470001,41,18735.0005,20500,1764.9995
9-21,TWTR,8/27/2019,9/24/2019,500,42.139999,41.419998,21069.9995,20709.999,-360.0005
9-21,TWTR,11/26/2019,2/5/2020,500,30.959999,33.389999,15479.9995,16694.9995,1215
9-21,TWTR,2/6/2020,3/3/2020,500,38.41,34.93,19205,17465,-1740
9-21,TWTR,4/13/2020,6/23/2020,500,27.209999,32.91,13604.9995,16455,2850.0005
9-21,TWTR,7/13/2020,9/15/2020,500,33.82,39.09,16910,19545,2635
9-21,TWTR,9/24/2020,11/4/2020,500,43.139999,42.759998,21569.9995,21379.999,-190.0005
9-21,TWTR,11/25/2020,1/11/2021,500,46.43,48.18,23215,24090,875
21-50,TWTR,4/2/2019,6/14/2019,500,33.75,36.150002,16875,18075.001,1200.001
21-50,TWTR,7/24/2019,10/8/2019,500,38.73,39.700001,19365,19850.0005,485.0005
21-50,TWTR,12/30/2019,3/17/2020,500,32.029999,24.48,16014.9995,12240,-3774.9995
21-50,TWTR,5/7/2020,11/20/2020,500,28.77,44.68,14385,22340,7955
9-50,TWTR,3/26/2019,6/6/2019,500,33.060001,36.59,16530.0005,18295,1764.9995
9-50,TWTR,7/15/2019,10/2/2019,500,38.68,39.700001,19340,19850.0005,510.0005
9-50,TWTR,12/26/2019,3/9/2020,500,32.630001,32.459999,16315.0005,16229.9995,-85.001
9-50,TWTR,5/4/2020,7/2/2020,500,28.23,30.870001,14115,15435.0005,1320.0005
9-50,TWTR,7/9/2020,11/9/2020,500,35.720001,43.189999,17860.0005,21594.9995,3734.999
50-100,TWTR,6/6/2019,11/7/2019,500,36.59,29.049999,18295,14524.9995,-3770.0005
50-100,TWTR,2/21/2020,4/6/2020,500,38.310001,24.93,19155.0005,12465,-6690.0005
21-100,TWTR,6/6/2019,10/24/2019,500,36.59,30.75,18295,15375,-2920
21-100,TWTR,2/11/2020,3/20/2020,500,35.650002,23.950001,17825.001,11975.0005,-5850.0005
50-200,TWTR,10/28/2019,11/20/2019,500,30.059999,29.17,15029.9995,14585,-444.9995
