Stock,Entry Date,Exit Date,Entry Signal,Exit Signal
AAPL,2/5/2019,5/14/2019,1,0
AAPL,6/12/2019,8/7/2019,1,0
AAPL,8/21/2019,2/25/2020,1,0
AAPL,4/8/2020,9/14/2020,1,0
AAPL,10/6/2020,10/28/2020,1,0
AAPL,3/19/2019,5/17/2019,1,0
AAPL,6/19/2019,8/15/2019,1,0
AAPL,8/16/2019,2/27/2020,1,0
AAPL,4/21/2020,9/23/2020,1,0
AAPL,10/12/2020,10/27/2020,1,0
AAPL,3/19/2019,5/24/2019,1,0
AAPL,7/2/2019,3/6/2020,1,0
AAPL,4/30/2020,10/2/2020,1,0
AAPL,5/30/2019,6/11/2019,1,0
AAPL,6/21/2019,3/18/2020,1,0
AAPL,5/30/2019,7/22/2019,1,0
AAPL,7/29/2019,4/7/2020,1,0
AMZN,3/1/2019,5/15/2019,1,0
AMZN,6/17/2019,7/30/2019,1,0
AMZN,9/9/2019,9/25/2019,1,0
AMZN,10/18/2019,11/15/2019,1,0
AMZN,12/3/2019,12/11/2019,1,0
AMZN,12/20/2019,1/27/2020,1,0
AMZN,2/3/2020,2/28/2020,1,0
AMZN,3/27/2020,5/13/2020,1,0
AMZN,5/15/2020,7/31/2020,1,0
AMZN,8/6/2020,9/14/2020,1,0
AMZN,10/5/2020,10/27/2020,1,0
AMZN,11/16/2020,11/17/2020,1,0
AMZN,12/2/2020,12/15/2020,1,0
AMZN,12/16/2020,1/12/2021,1,0
AMZN,3/26/2019,6/4/2019,1,0
AMZN,7/3/2019,8/13/2019,1,0
AMZN,11/11/2019,12/11/2019,1,0
AMZN,12/23/2019,3/16/2020,1,0
AMZN,4/16/2020,9/29/2020,1,0
AMZN,10/26/2020,11/16/2020,1,0
AMZN,3/26/2019,5/29/2019,1,0
AMZN,6/19/2019,8/5/2019,1,0
AMZN,11/4/2019,11/18/2019,1,0
AMZN,11/27/2019,12/11/2019,1,0
AMZN,12/20/2019,3/5/2020,1,0
AMZN,4/9/2020,9/17/2020,1,0
AMZN,10/12/2020,10/28/2020,1,0
AMZN,11/16/2020,11/17/2020,1,0
AMZN,6/6/2019,8/15/2019,1,0
AMZN,12/26/2019,3/25/2020,1,0
AMZN,4/9/2020,11/18/2020,1,0
AMZN,6/6/2019,9/11/2019,1,0
AMZN,12/31/2019,11/18/2020,1,0
AMZN,12/1/2020,12/11/2020,1,0
BTC,2/11/2019,3/7/2019,1,0
BTC,3/13/2019,6/8/2019,1,0
BTC,6/17/2019,7/16/2019,1,0
BTC,8/5/2019,8/18/2019,1,0
BTC,9/8/2019,9/21/2019,1,0
BTC,10/14/2019,10/18/2019,1,0
BTC,10/27/2019,11/13/2019,1,0
BTC,12/12/2019,12/14/2019,1,0
BTC,12/26/2019,2/23/2020,1,0
BTC,3/28/2020,5/26/2020,1,0
BTC,6/2/2020,6/16/2020,1,0
BTC,7/12/2020,7/19/2020,1,0
BTC,7/22/2020,8/26/2020,1,0
BTC,9/20/2020,9/29/2020,1,0
BTC,10/2/2020,10/3/2020,1,0
BTC,2/24/2019,7/30/2019,1,0
BTC,8/18/2019,8/29/2019,1,0
BTC,11/6/2019,11/24/2019,1,0
BTC,1/8/2020,3/6/2020,1,0
BTC,4/19/2020,6/29/2020,1,0
BTC,7/27/2020,9/9/2020,1,0
BTC,2/24/2019,7/24/2019,1,0
BTC,8/7/2019,8/18/2019,1,0
BTC,9/10/2019,9/11/2019,1,0
BTC,10/31/2019,11/19/2019,1,0
BTC,1/7/2020,2/29/2020,1,0
BTC,4/18/2020,6/21/2020,1,0
BTC,6/22/2020,6/24/2020,1,0
BTC,7/25/2020,9/6/2020,1,0
BTC,4/15/2019,9/6/2019,1,0
BTC,1/19/2020,3/14/2020,1,0
BTC,4/15/2019,9/20/2019,1,0
BTC,2/4/2020,3/27/2020,1,0
BTC,5/20/2020,10/18/2020,1,0
BTC,7/24/2019,10/26/2019,1,0
BTC,2/19/2020,3/25/2020,1,0
FB,2/12/2019,2/27/2019,1,0
FB,3/6/2019,3/22/2019,1,0
FB,4/4/2019,5/16/2019,1,0
FB,6/19/2019,7/31/2019,1,0
FB,9/6/2019,9/26/2019,1,0
FB,10/16/2019,12/17/2019,1,0
FB,12/18/2019,1/31/2020,1,0
FB,2/21/2020,2/24/2020,1,0
FB,4/3/2020,7/2/2020,1,0
FB,7/10/2020,7/28/2020,1,0
FB,8/6/2020,9/15/2020,1,0
FB,10/7/2020,11/19/2020,1,0
FB,12/4/2020,12/18/2020,1,0
FB,3/26/2019,6/6/2019,1,0
FB,7/5/2019,8/19/2019,1,0
FB,10/30/2019,2/25/2020,1,0
FB,4/30/2020,10/2/2020,1,0
FB,11/4/2020,12/31/2020,1,0
FB,3/26/2019,6/3/2019,1,0
FB,6/21/2019,8/9/2019,1,0
FB,10/18/2019,2/11/2020,1,0
FB,2/13/2020,2/25/2020,1,0
FB,4/23/2020,9/22/2020,1,0
FB,10/21/2020,12/21/2020,1,0
FB,6/6/2019,10/1/2019,1,0
FB,12/4/2019,3/20/2020,1,0
FB,6/6/2019,8/26/2019,1,0
FB,11/8/2019,3/9/2020,1,0
FB,5/13/2020,1/8/2021,1,0
FB,10/28/2019,3/27/2020,1,0
Gold,2/6/2019,3/3/2019,1,0
Gold,3/21/2019,4/3/2019,1,0
Gold,5/6/2019,5/23/2019,1,0
Gold,6/2/2019,9/10/2019,1,0
Gold,9/26/2019,10/2/2019,1,0
Gold,10/30/2019,11/10/2019,1,0
Gold,12/5/2019,2/12/2020,1,0
Gold,2/16/2020,3/16/2020,1,0
Gold,3/30/2020,5/3/2020,1,0
Gold,5/15/2020,6/1/2020,1,0
Gold,6/17/2020,8/18/2020,1,0
Gold,9/4/2020,9/8/2020,1,0
Gold,9/9/2020,9/11/2020,1,0
Gold,9/17/2020,9/22/2020,1,0
Gold,10/14/2020,10/29/2020,1,0
Gold,3/13/2019,3/17/2019,1,0
Gold,5/31/2019,9/29/2019,1,0
Gold,12/29/2019,3/24/2020,1,0
Gold,4/13/2020,9/17/2020,1,0
Gold,6/2/2019,9/30/2019,1,0
Gold,11/3/2019,11/6/2019,1,0
Gold,12/23/2019,3/18/2020,1,0
Gold,3/30/2020,6/7/2020,1,0
Gold,6/16/2020,9/17/2020,1,0
Gold,6/20/2019,11/17/2019,1,0
Gold,1/16/2020,11/10/2020,1,0
Gold,6/9/2019,11/11/2019,1,0
Gold,1/5/2020,10/30/2020,1,0
GOOG,2/12/2019,2/28/2019,1,0
GOOG,3/1/2019,4/5/2019,1,0
GOOG,4/9/2019,5/6/2019,1,0
GOOG,6/21/2019,8/15/2019,1,0
GOOG,9/6/2019,10/3/2019,1,0
GOOG,10/17/2019,12/3/2019,1,0
GOOG,12/6/2019,2/27/2020,1,0
GOOG,4/7/2020,6/29/2020,1,0
GOOG,7/8/2020,8/3/2020,1,0
GOOG,8/19/2020,9/14/2020,1,0
GOOG,10/9/2020,12/17/2020,1,0
GOOG,3/26/2019,5/17/2019,1,0
GOOG,7/17/2019,3/9/2020,1,0
GOOG,5/1/2020,9/29/2020,1,0
GOOG,10/30/2020,1/12/2021,1,0
GOOG,3/26/2019,5/9/2019,1,0
GOOG,7/11/2019,3/2/2020,1,0
GOOG,4/24/2020,9/17/2020,1,0
GOOG,10/19/2020,1/12/2021,1,0
GOOG,6/6/2019,6/21/2019,1,0
GOOG,8/29/2019,3/31/2020,1,0
GOOG,8/2/2019,3/16/2020,1,0
GOOG,5/20/2020,10/6/2020,1,0
GOOG,10/28/2019,4/21/2020,1,0
MRNA,2/7/2019,3/14/2019,1,0
MRNA,4/5/2019,5/15/2019,1,0
MRNA,8/21/2019,10/2/2019,1,0
MRNA,10/24/2019,12/12/2019,1,0
MRNA,12/31/2019,1/8/2020,1,0
MRNA,1/17/2020,2/12/2020,1,0
MRNA,2/27/2020,6/3/2020,1,0
MRNA,6/18/2020,7/6/2020,1,0
MRNA,7/14/2020,8/7/2020,1,0
MRNA,9/22/2020,10/26/2020,1,0
MRNA,11/11/2020,12/23/2020,1,0
MRNA,3/19/2019,5/22/2019,1,0
MRNA,8/28/2019,10/10/2019,1,0
MRNA,10/28/2019,1/9/2020,1,0
MRNA,1/16/2020,2/21/2020,1,0
MRNA,2/26/2020,8/19/2020,1,0
MRNA,3/19/2019,6/3/2019,1,0
MRNA,9/5/2019,10/22/2019,1,0
MRNA,11/11/2019,8/28/2020,1,0
MRNA,5/30/2019,6/11/2019,1,0
MRNA,9/26/2019,9/11/2020,1,0
MRNA,5/30/2019,6/27/2019,1,0
MRNA,10/17/2019,10/19/2020,1,0
MSFT,2/13/2019,5/15/2019,1,0
MSFT,5/29/2019,5/30/2019,1,0
MSFT,6/11/2019,8/6/2019,1,0
MSFT,8/28/2019,9/4/2019,1,0
MSFT,9/6/2019,10/3/2019,1,0
MSFT,10/15/2019,2/27/2020,1,0
MSFT,4/2/2020,6/3/2020,1,0
MSFT,6/8/2020,7/27/2020,1,0
MSFT,8/6/2020,9/14/2020,1,0
MSFT,10/2/2020,10/28/2020,1,0
MSFT,11/12/2020,11/30/2020,1,0
MSFT,12/8/2020,12/14/2020,1,0
MSFT,12/16/2020,1/12/2021,1,0
MSFT,3/26/2019,8/26/2019,1,0
MSFT,9/24/2019,3/13/2020,1,0
MSFT,4/23/2020,9/29/2020,1,0
MSFT,10/22/2020,12/15/2020,1,0
MSFT,3/26/2019,8/15/2019,1,0
MSFT,8/19/2019,8/22/2019,1,0
MSFT,9/6/2019,9/18/2019,1,0
MSFT,9/19/2019,10/9/2019,1,0
MSFT,10/10/2019,3/4/2020,1,0
MSFT,4/15/2020,9/15/2020,1,0
MSFT,10/13/2020,10/29/2020,1,0
MSFT,11/10/2020,12/15/2020,1,0
MSFT,6/6/2019,3/20/2020,1,0
MSFT,6/6/2019,4/24/2020,1,0
MSFT,5/27/2020,11/16/2020,1,0
MSFT,11/17/2020,11/18/2020,1,0
Silver,2/6/2019,2/14/2019,1,0
Silver,2/24/2019,3/3/2019,1,0
Silver,3/21/2019,4/1/2019,1,0
Silver,6/5/2019,7/9/2019,1,0
Silver,7/17/2019,9/15/2019,1,0
Silver,10/21/2019,10/24/2019,1,0
Silver,10/25/2019,11/10/2019,1,0
Silver,12/1/2019,12/5/2019,1,0
Silver,12/19/2019,1/19/2020,1,0
Silver,2/19/2020,3/2/2020,1,0
Silver,4/1/2020,4/28/2020,1,0
Silver,5/11/2020,6/11/2020,1,0
Silver,6/25/2020,8/27/2020,1,0
Silver,9/1/2020,9/14/2020,1,0
Silver,10/15/2020,10/30/2020,1,0
Silver,11/12/2020,11/25/2020,1,0
Silver,6/20/2019,10/8/2019,1,0
Silver,1/2/2020,2/16/2020,1,0
Silver,2/24/2020,2/27/2020,1,0
Silver,4/27/2020,9/28/2020,1,0
Silver,12/2/2020,12/8/2020,1,0
Silver,6/10/2019,10/3/2019,1,0
