Stock,Date,Buy/Sell
JPM,2/5/2019,1
JPM,2/21/2019,1
JPM,3/19/2019,1
JPM,4/9/2019,1
JPM,6/13/2019,1
JPM,9/5/2019,1
JPM,10/18/2019,1
JPM,2/11/2020,1
JPM,4/9/2020,1
JPM,4/29/2020,1
JPM,5/28/2020,1
JPM,7/16/2020,1
JPM,8/12/2020,1
JPM,8/28/2020,1
JPM,10/8/2020,1
JPM,11/9/2020,1
JPM,2/12/2019,0
JPM,3/11/2019,0
JPM,3/25/2019,0
JPM,5/14/2019,0
JPM,8/6/2019,0
JPM,10/3/2019,0
JPM,1/13/2020,0
JPM,2/25/2020,0
JPM,4/24/2020,0
JPM,5/12/2020,0
JPM,6/22/2020,0
JPM,8/5/2020,0
JPM,8/27/2020,0
JPM,9/18/2020,0
JPM,10/29/2020,0
JPM,12/21/2020,0
