,Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
0,JPM,02052019,1,JPM02052019,
1,JPM,02212019,1,JPM02212019,-0.4767
2,JPM,03192019,1,JPM03192019,0.9075
3,JPM,04092019,1,JPM04092019,0.5236
4,JPM,06132019,1,JPM06132019,
5,JPM,09052019,1,JPM09052019,0.2023
6,JPM,10182019,1,JPM10182019,0.9756
7,JPM,02112020,1,JPM02112020,0.9694
8,JPM,04092020,1,JPM04092020,0.9874
9,JPM,04292020,1,JPM04292020,-0.4215
10,JPM,05282020,1,JPM05282020,0.5927
11,JPM,07162020,1,JPM07162020,-0.3818
12,JPM,08122020,1,JPM08122020,-0.9135
13,JPM,08282020,1,JPM08282020,0.5719
14,JPM,10082020,1,JPM10082020,0.9918
15,JPM,11092020,1,JPM11092020,0.9908
16,JPM,02122019,0,JPM02122019,
17,JPM,03112019,0,JPM03112019,-0.3751
18,JPM,03252019,0,JPM03252019,-0.8934
19,JPM,05142019,0,JPM05142019,0.9186
20,JPM,08062019,0,JPM08062019,0.7845
21,JPM,10032019,0,JPM10032019,0.5994
22,JPM,01132020,0,JPM01132020,0.998
23,JPM,02252020,0,JPM02252020,0.9714
24,JPM,04242020,0,JPM04242020,-0.8885
25,JPM,05122020,0,JPM05122020,0.0
26,JPM,06222020,0,JPM06222020,-0.1531
27,JPM,08052020,0,JPM08052020,0.5106
28,JPM,08272020,0,JPM08272020,-0.296
29,JPM,09182020,0,JPM09182020,-0.5859
30,JPM,10292020,0,JPM10292020,0.8555
31,JPM,12212020,0,JPM12212020,0.989
32,AAPL,02052019,1,AAPL02052019,0.8268
33,AAPL,06122019,1,AAPL06122019,0.9408
34,AAPL,08212019,1,AAPL08212019,0.9975
35,AAPL,04082020,1,AAPL04082020,-0.3818
36,AAPL,10062020,1,AAPL10062020,0.9967
37,AAPL,03192019,1,AAPL03192019,0.8897
38,AAPL,06192019,1,AAPL06192019,0.993
39,AAPL,08162019,1,AAPL08162019,0.1027
40,AAPL,04212020,1,AAPL04212020,0.9906
41,AAPL,10122020,1,AAPL10122020,0.9993
42,AAPL,03192019,1,AAPL03192019,0.8897
43,AAPL,07022019,1,AAPL07022019,0.9876
44,AAPL,04302020,1,AAPL04302020,0.9989
45,AAPL,05302019,1,AAPL05302019,-0.9896
46,AAPL,06212019,1,AAPL06212019,-0.9325
47,AAPL,05302019,1,AAPL05302019,-0.9896
48,AAPL,07292019,1,AAPL07292019,0.9418
49,AMZN,03012019,1,AMZN03012019,
50,AMZN,06172019,1,AMZN06172019,-0.5296
51,AMZN,09092019,1,AMZN09092019,0.9699
52,AMZN,10182019,1,AMZN10182019,0.6705
53,AMZN,12032019,1,AMZN12032019,0.9997
54,AMZN,12202019,1,AMZN12202019,0.9302
55,AMZN,02032020,1,AMZN02032020,0.9925
56,AMZN,03272020,1,AMZN03272020,0.9933
57,AMZN,05152020,1,AMZN05152020,-0.1202
58,AMZN,08062020,1,AMZN08062020,0.9771
59,AMZN,10052020,1,AMZN10052020,0.9711
60,AMZN,11162020,1,AMZN11162020,0.9666
61,AMZN,12022020,1,AMZN12022020,0.9977
62,AMZN,12162020,1,AMZN12162020,0.99
63,AMZN,03262019,1,AMZN03262019,0.5574
64,AMZN,07032019,1,AMZN07032019,0.9641
65,AMZN,11112019,1,AMZN11112019,0.9771
66,AMZN,12232019,1,AMZN12232019,0.9965
67,AMZN,04162020,1,AMZN04162020,0.9973
68,AMZN,10262020,1,AMZN10262020,0.9777
69,AMZN,03262019,1,AMZN03262019,0.5574
70,AMZN,06192019,1,AMZN06192019,0.9906
71,AMZN,11042019,1,AMZN11042019,0.9678
72,AMZN,11272019,1,AMZN11272019,0.9971
73,AMZN,12202019,1,AMZN12202019,0.9302
74,AMZN,04092020,1,AMZN04092020,0.9933
75,AMZN,10122020,1,AMZN10122020,0.9987
76,AMZN,11162020,1,AMZN11162020,0.9666
77,AMZN,06062019,1,AMZN06062019,0.9877
78,AMZN,12262019,1,AMZN12262019,0.9996
79,AMZN,04092020,1,AMZN04092020,0.9933
80,AMZN,06062019,1,AMZN06062019,0.9877
81,AMZN,12312019,1,AMZN12312019,0.9841
82,AMZN,12012020,1,AMZN12012020,0.9998
83,BTC,02112019,1,BTC02112019,
84,BTC,03132019,1,BTC03132019,
85,BTC,06172019,1,BTC06172019,
86,BTC,08052019,1,BTC08052019,
87,BTC,09082019,1,BTC09082019,
88,BTC,10142019,1,BTC10142019,
89,BTC,10272019,1,BTC10272019,
90,BTC,12122019,1,BTC12122019,
91,BTC,12262019,1,BTC12262019,
92,BTC,03282020,1,BTC03282020,
93,BTC,06022020,1,BTC06022020,
94,BTC,07122020,1,BTC07122020,
95,BTC,07222020,1,BTC07222020,
96,BTC,09202020,1,BTC09202020,
97,BTC,10022020,1,BTC10022020,
98,BTC,02242019,1,BTC02242019,
99,BTC,08182019,1,BTC08182019,
100,BTC,11062019,1,BTC11062019,
101,BTC,01082020,1,BTC01082020,
102,BTC,04192020,1,BTC04192020,
103,BTC,07272020,1,BTC07272020,
104,BTC,02242019,1,BTC02242019,
105,BTC,08072019,1,BTC08072019,
106,BTC,09102019,1,BTC09102019,
107,BTC,10312019,1,BTC10312019,
108,BTC,01072020,1,BTC01072020,
109,BTC,04182020,1,BTC04182020,
110,BTC,06222020,1,BTC06222020,
111,BTC,07252020,1,BTC07252020,
112,BTC,04152019,1,BTC04152019,
113,BTC,01192020,1,BTC01192020,
114,BTC,04152019,1,BTC04152019,
115,BTC,02042020,1,BTC02042020,
116,BTC,05202020,1,BTC05202020,
117,BTC,07242019,1,BTC07242019,
118,BTC,02192020,1,BTC02192020,
119,FB,02122019,1,FB02122019,-0.5574
120,FB,03062019,1,FB03062019,0.296
121,FB,04042019,1,FB04042019,-0.7003
122,FB,06192019,1,FB06192019,0.9934
123,FB,09062019,1,FB09062019,-0.2848
124,FB,10162019,1,FB10162019,0.9874
125,FB,12182019,1,FB12182019,0.9605
126,FB,02212020,1,FB02212020,0.9455
127,FB,04032020,1,FB04032020,0.9047
128,FB,07102020,1,FB07102020,-0.9824
129,FB,08062020,1,FB08062020,0.7579
130,FB,10072020,1,FB10072020,0.0258
131,FB,12042020,1,FB12042020,-0.3637
132,FB,03262019,1,FB03262019,0.3818
133,FB,07052019,1,FB07052019,-0.6174
134,FB,10302019,1,FB10302019,0.9987
135,FB,04302020,1,FB04302020,0.9987
136,FB,11042020,1,FB11042020,0.9748
137,FB,03262019,1,FB03262019,0.3818
138,FB,06212019,1,FB06212019,0.2447
139,FB,10182019,1,FB10182019,0.9879
140,FB,02132020,1,FB02132020,-0.9562
141,FB,04232020,1,FB04232020,0.3687
142,FB,10212020,1,FB10212020,0.9402
143,FB,06062019,1,FB06062019,0.7506
144,FB,12042019,1,FB12042019,0.986
145,FB,06062019,1,FB06062019,0.7506
146,FB,11082019,1,FB11082019,-0.7311
147,FB,05132020,1,FB05132020,-0.9937
148,FB,10282019,1,FB10282019,0.9647
149,Gold,02062019,1,Gold02062019,
150,Gold,03212019,1,Gold03212019,
151,Gold,05062019,1,Gold05062019,0.0
152,Gold,06022019,1,Gold06022019,
153,Gold,09262019,1,Gold09262019,
154,Gold,10302019,1,Gold10302019,
155,Gold,12052019,1,Gold12052019,-0.0258
156,Gold,02162020,1,Gold02162020,0.0
157,Gold,03302020,1,Gold03302020,0.8074
158,Gold,05152020,1,Gold05152020,0.25
159,Gold,06172020,1,Gold06172020,0.7506
160,Gold,09042020,1,Gold09042020,0.0
161,Gold,09092020,1,Gold09092020,-0.7149
162,Gold,09172020,1,Gold09172020,0.8875
163,Gold,10142020,1,Gold10142020,
164,Gold,03132019,1,Gold03132019,
165,Gold,05312019,1,Gold05312019,
166,Gold,12292019,1,Gold12292019,0.296
167,Gold,04132020,1,Gold04132020,0.9371
168,Gold,06022019,1,Gold06022019,
169,Gold,11032019,1,Gold11032019,
170,Gold,12232019,1,Gold12232019,
171,Gold,03302020,1,Gold03302020,0.8074
172,Gold,06162020,1,Gold06162020,0.7964
173,Gold,06202019,1,Gold06202019,-0.4215
174,Gold,01162020,1,Gold01162020,
175,Gold,06092019,1,Gold06092019,
176,Gold,01052020,1,Gold01052020,
177,GOOG,02122019,1,GOOG02122019,0.128
178,GOOG,03012019,1,GOOG03012019,-0.3182
179,GOOG,04092019,1,GOOG04092019,-0.9041
180,GOOG,06212019,1,GOOG06212019,0.9364
181,GOOG,09062019,1,GOOG09062019,0.9824
182,GOOG,10172019,1,GOOG10172019,0.9773
183,GOOG,12062019,1,GOOG12062019,0.9779
184,GOOG,04072020,1,GOOG04072020,0.9432
185,GOOG,07082020,1,GOOG07082020,0.9061
186,GOOG,08192020,1,GOOG08192020,0.9678
187,GOOG,10092020,1,GOOG10092020,0.9668
188,GOOG,03262019,1,GOOG03262019,0.0
189,GOOG,07172019,1,GOOG07172019,0.8366
190,GOOG,05012020,1,GOOG05012020,0.9589
191,GOOG,10302020,1,GOOG10302020,0.9973
192,GOOG,03262019,1,GOOG03262019,0.0
193,GOOG,07112019,1,GOOG07112019,0.9518
194,GOOG,04242020,1,GOOG04242020,0.9512
195,GOOG,10192020,1,GOOG10192020,0.8922
196,GOOG,06062019,1,GOOG06062019,0.9898
197,GOOG,08292019,1,GOOG08292019,0.9509
198,GOOG,08022019,1,GOOG08022019,0.6124
